id_pedido,cliente ,genero,idade,uf,produto,valor_compra,nota_avaliacao,comentario,status_suporte
REQ-1068,Cliente 68,M,37,PE,Caixa de Som,1474.22,3,"O produto é mediano, atende o básico.",Em Aberto
REQ-1069,Cliente 69,M,58,MG,Caixa de Som,1470.95,3,"O produto é mediano, atende o básico.",Em Aberto
REQ-1070,Cliente 70,F,64,PE,Teclado Mecânico,458.08,5,Chegou super rápido e funciona perfeitamente.,Não Necessário
REQ-1071,Cliente 71,Outro,38,SC,Teclado Mecânico,3572.53,4,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
REQ-1072,Cliente 72,M,59,RJ,Mouse Sem Fio,4481.89,5,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1073,Cliente 73,Outro,46,MG,Fone Bluetooth,4360.5,1,"Não gostei da qualidade do material, parece muito frágil.",Pendente
REQ-1074,Cliente 74,M,55,BA,Cadeira Ergonômica,373.8,5,"Excelente produto, superou todas as minhas expectativas!",Não Necessário
REQ-1075,Cliente 75,F,22,PR,Teclado Mecânico,1087.86,5,"Melhor compra que fiz este ano, recomendo muito.",Não Necessário
REQ-1076,Cliente 76,M,39,SC,Smartphone,4265.26,4,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1077,Cliente 77,F,48,MG,Monitor Gamer,3187.63,5,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
REQ-1078,Cliente 78,Outro,20,PR,Fone Bluetooth,2135.54,2,"Não gostei da qualidade do material, parece muito frágil.",Resolvido
REQ-1079,Cliente 79,Outro,58,BA,Smartphone,3080.63,1,Veio faltando peças na caixa. Estou muito insatisfeito.,Resolvido
REQ-1080,Cliente 80,M,42,PE,Smartphone,1045.0,4,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
REQ-1081,Cliente 81,M,49,PR,Teclado Mecânico,243.13,5,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
REQ-1082,Cliente 82,M,53,MG,Notebook,4363.4,5,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
REQ-1083,Cliente 83,M,31,BA,Smartphone,2842.63,4,"Excelente produto, superou todas as minhas expectativas!",Não Necessário
REQ-1084,Cliente 84,Outro,29,RJ,Cadeira Ergonômica,1805.62,4,"Excelente produto, superou todas as minhas expectativas!",Não Necessário
REQ-1085,Cliente 85,F,45,SC,Tablet,1777.79,1,Veio faltando peças na caixa. Estou muito insatisfeito.,Resolvido
REQ-1086,Cliente 86,M,58,SC,Monitor Gamer,193.81,3,"O produto é mediano, atende o básico.",Resolvido
REQ-1087,Cliente 87,M,30,RS,Notebook,3710.29,4,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1088,Cliente 88,Outro,42,RJ,Tablet,4200.64,5,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1089,Cliente 89,M,50,RS,Smartphone,2187.65,5,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1090,Cliente 90,M,43,BA,Caixa de Som,4366.12,5,Chegou super rápido e funciona perfeitamente.,Não Necessário
REQ-1091,Cliente 91,M,51,SP,Notebook,645.64,5,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1092,Cliente 92,M,22,BA,Teclado Mecânico,4485.03,1,Trava o tempo todo e o suporte da empresa não me respondeu.,Resolvido
REQ-1093,Cliente 93,F,27,MG,Smartphone,1122.83,5,Design bonito e entrega antes do prazo.,Não Necessário
REQ-1094,Cliente 94,Outro,62,PR,Smartwatch,1067.46,2,O produto parou de funcionar na primeira semana. Péssimo.,Pendente
REQ-1095,Cliente 95,Outro,25,BA,Tablet,2266.84,4,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
REQ-1096,Cliente 96,Outro,29,SP,Monitor Gamer,4357.48,4,Chegou super rápido e funciona perfeitamente.,Não Necessário
REQ-1097,Cliente 97,M,34,PE,Mouse Sem Fio,3410.36,1,"Não gostei da qualidade do material, parece muito frágil.",Pendente
REQ-1098,Cliente 98,Outro,55,PE,Fone Bluetooth,1610.11,5,Chegou super rápido e funciona perfeitamente.,Não Necessário
REQ-1099,Cliente 99,Outro,51,SC,Caixa de Som,2337.25,4,Chegou super rápido e funciona perfeitamente.,Não Necessário
REQ-1100,Cliente 100,F,59,MG,Smartphone,4275.37,5,Muito robusto e de ótima qualidade. Vale cada centavo.,Não Necessário
